#{"t_start": 1749473319.23299, "env_id": "None"}
r,l,t
-421.651839,780,40.556355
1303.955546,909,70.601513
-312.430901,883,100.652503
314.897894,906,130.698543
-1973.815839,891,160.736242
-1671.291892,902,190.761637
917.422709,889,220.798793
-1331.14786,902,250.832073
-1178.907908,902,280.879759
-907.069842,890,310.925957
1347.892444,852,340.971632
-367.474341,295,441.922876
-787.162775,850,471.98619
-1539.263544,852,502.012339
1291.031638,840,532.038854
-193.232535,875,562.094969
-1585.536508,876,592.159123
-722.830196,852,622.205049
1456.540659,864,652.231034
