scenario_id,episodes,success_rate,collision_rate,timeout_rate,avg_path_len_success,avg_min_dist_human,mean_SPL,mean_space_compliance,mean_avg_angular_jerk
1,25.0,0.84,0.16,0.0,50.30179736236737,0.8779471802711487,0.26220440360281405,1.0,0.0
4,26.0,0.8846153846153846,0.11538461538461539,0.0,60.107580280295856,1.241925984621048,0.28757375621395503,1.0,0.0
5,27.0,1.0,0.0,0.0,67.12706371380611,2.396941597814913,0.3119338500289047,1.0,0.0
6,40.0,0.975,0.025,0.0,43.51879481831453,1.0918296217918395,0.2805401507812619,1.0,0.0
7,36.0,0.9166666666666666,0.08333333333333333,0.0,58.35480946622556,1.1151166293356154,0.3485674854289299,1.0,0.0
8,32.0,0.9375,0.0625,0.0,74.42330032264194,0.7850425001233816,0.23533848759885712,1.0,0.0
9,36.0,1.0,0.0,0.0,57.08753049772026,8.447759615050423,0.2154772847652447,1.0,0.0
11,29.0,1.0,0.0,0.0,38.47796850595321,11.539518446757876,0.2409385723042752,1.0,0.0
12,49.0,0.8979591836734694,0.10204081632653061,0.0,51.17584433622721,9.330294852354088,0.1993930542555694,1.0,0.0
